n1,r1,n2,r2,ratio
512,2,512,2,1
512,2,512,4,0.927030373
512,2,512,5,0.917680373
512,2,512,8,0.950518161
512,2,512,10,0.98890295
512,2,512,16,1.15506898
512,2,512,20,1.200893336
512,2,512,32,1.377405588
512,2,512,40,1.46392663
512,2,512,64,1.646570956
512,4,512,4,1
512,4,512,5,0.992832464
512,4,512,8,1.030161821
512,4,512,10,1.08007585
512,4,512,16,1.264543773
512,4,512,20,1.311174745
512,4,512,32,1.517629827
512,4,512,40,1.605446086
512,4,512,64,1.834148339
512,5,512,5,1
512,5,512,8,1.041194627
512,5,512,10,1.082851461
512,5,512,16,1.268983452
512,5,512,20,1.320029109
512,5,512,32,1.51825732
512,5,512,40,1.613298037
512,5,512,64,1.818135639
512,8,512,8,1
512,8,512,10,1.039883619
512,8,512,16,1.218239539
512,8,512,20,1.265203859
512,8,512,32,1.466408566
512,8,512,40,1.553556147
512,8,512,64,1.768973859
512,10,512,10,1
512,10,512,16,1.171133982
512,10,512,20,1.226281054
512,10,512,32,1.407979173
512,10,512,40,1.503032302
512,10,512,64,1.697313581
512,16,512,16,1
512,16,512,20,1.044713131
512,16,512,32,1.200632341
512,16,512,40,1.279250445
512,16,512,64,1.449810866
512,20,512,20,1
512,20,512,32,1.145639259
512,20,512,40,1.224144002
512,20,512,64,1.385232581
512,32,512,32,1
512,32,512,40,1.063834571
512,32,512,64,1.203793407
512,40,512,40,1
512,40,512,64,1.130160619
512,64,512,64,1
512,2,1024,2,0.984640111
512,2,1024,4,0.909102888
512,2,1024,5,0.915704875
512,2,1024,8,0.931598166
512,2,1024,10,0.956944144
512,2,1024,16,1.169899658
512,2,1024,20,1.162938096
512,2,1024,32,1.345924106
512,2,1024,40,1.48354306
512,2,1024,64,1.738531532
512,4,1024,4,0.988701914
512,4,1024,5,0.9855026
512,4,1024,8,1.011026962
512,4,1024,10,1.047996795
512,4,1024,16,1.282728269
512,4,1024,20,1.273635507
512,4,1024,32,1.480817727
512,4,1024,40,1.622077171
512,4,1024,64,1.913713674
512,5,1024,5,0.986917331
512,5,1024,8,1.017266974
512,5,1024,10,1.050981468
512,5,1024,16,1.289371583
512,5,1024,20,1.281527635
512,5,1024,32,1.479405859
512,5,1024,40,1.636235764
512,5,1024,64,1.919597143
512,8,1024,8,0.976853526
512,8,1024,10,1.011315227
512,8,1024,16,1.236725952
512,8,1024,20,1.230865469
512,8,1024,32,1.438992913
512,8,1024,40,1.568718003
512,8,1024,64,1.848198952
512,10,1024,10,0.97113226
512,10,1024,16,1.193024625
512,10,1024,20,1.182601286
512,10,1024,32,1.37650674
512,10,1024,40,1.510038998
512,10,1024,64,1.773564982
512,16,1024,16,1.016505389
512,16,1024,20,1.0103641
512,16,1024,32,1.174653672
512,16,1024,40,1.281443822
512,16,1024,64,1.517972253
512,20,1024,20,0.970313568
512,20,1024,32,1.12264087
512,20,1024,40,1.222748466
512,20,1024,64,1.462641243
512,32,1024,32,0.980168332
512,32,1024,40,1.070963
512,32,1024,64,1.272772714
512,40,1024,40,1.011838545
512,40,1024,64,1.180305366
512,64,1024,64,1.043523334
512,2,2048,2,0.936082361
512,2,2048,4,0.881319993
512,2,2048,5,0.875222646
512,2,2048,8,0.910708594
512,2,2048,10,0.936198946
512,2,2048,16,1.043285561
512,2,2048,20,1.104179034
512,2,2048,32,1.296865155
512,2,2048,40,1.41599433
