n1,r1,n2,r2,delta,ratio
512,1,512,1,0.02,1
512,1,512,1,0.04,1
512,1,512,1,0.06,1
512,1,512,1,0.08,1
512,1,512,1,0.1,1
512,1,512,1,0.12,1
512,1,512,1,0.14,1
512,1,512,1,0.16,1
512,1,512,1,0.18,1
512,1,512,1,0.2,1
512,1,512,1,0.22,1
512,1,512,1,0.24,1
512,1,512,1,0.26,1
512,1,512,1,0.28,1
512,1,512,1,0.3,1
512,1,512,1,0.32,1
512,1,512,1,0.34,1
512,1,512,1,0.36,1
512,1,512,1,0.38,1
512,1,512,1,0.4,1
512,1,512,1,0.42,1
512,1,512,1,0.44,1
512,1,512,1,0.46,1
512,1,512,1,0.48,1
512,1,512,1,0.5,1
512,1,512,1,0.52,1
512,1,512,1,0.54,1
512,1,512,1,0.56,1
512,1,512,1,0.58,1
512,1,512,1,0.6,1
512,1,512,1,0.62,1
512,1,512,1,0.64,1
512,1,512,1,0.66,1
512,1,512,1,0.68,1
512,1,512,1,0.7,1
512,1,512,1,0.72,1
512,1,512,1,0.74,1
512,1,512,1,0.76,1
512,1,512,1,0.78,1
512,1,512,1,0.8,1
512,1,512,1,0.82,1
512,1,512,1,0.84,1
512,1,512,1,0.86,1
512,1,512,1,0.88,1
512,1,512,1,0.9,1
512,1,512,1,0.92,1
512,1,512,1,0.94,1
512,1,512,1,0.96,1
512,1,512,1,0.98,1
512,1,512,1,1,1
512,1,512,2,0.02,1.626560006
512,1,512,2,0.04,0.692070003
512,1,512,2,0.06,0.703800003
512,1,512,2,0.08,0.714627695
512,1,512,2,0.1,0.794880003
512,1,512,2,0.12,0.772169146
512,1,512,2,0.14,0.79100254
512,1,512,2,0.16,0.74893682
512,1,512,2,0.18,0.724202488
512,1,512,2,0.2,0.765734403
512,1,512,2,0.22,0.785910003
512,1,512,2,0.24,0.743212803
512,1,512,2,0.26,0.769871023
512,1,512,2,0.28,0.780045003
512,1,512,2,0.3,0.807840003
512,1,512,2,0.32,0.766692769
512,1,512,2,0.34,0.816717366
512,1,512,2,0.36,0.844560003
512,1,512,2,0.38,0.838013027
512,1,512,2,0.4,0.874368003
512,1,512,2,0.42,0.808786743
512,1,512,2,0.44,0.807497146
512,1,512,2,0.46,0.844560003
512,1,512,2,0.48,0.85110698
512,1,512,2,0.5,0.828380693
512,1,512,2,0.52,0.86925474
512,1,512,2,0.54,0.871371432
512,1,512,2,0.56,0.838013027
512,1,512,2,0.58,0.874368003
512,1,512,2,0.6,0.866215388
512,1,512,2,0.62,0.857965718
512,1,512,2,0.64,0.825792003
512,1,512,2,0.66,0.822417981
512,1,512,2,0.68,0.818967276
512,1,512,2,0.7,0.811825119
512,1,512,2,0.72,0.831154289
512,1,512,2,0.74,0.844560003
512,1,512,2,0.76,0.831154289
512,1,512,2,0.78,0.872712003
512,1,512,2,0.8,0.837693662
512,1,512,2,0.82,0.876631902
512,1,512,2,0.84,0.900864004
512,1,512,2,0.86,0.830101272
512,1,512,2,0.88,0.851210082
512,1,512,2,0.9,0.854683523
512,1,512,2,0.92,0.87122797
512,1,512,2,0.94,0.872683596
512,1,512,2,0.96,0.844107955
512,1,512,2,0.98,0.865609911
512,1,512,2,1,0.88901053
512,1,512,4,0.02,0.114853334
512,1,512,4,0.04,0.330203336
512,1,512,4,0.06,0.489275205
512,1,512,4,0.08,0.636110775
512,1,512,4,0.1,0.702632164
512,1,512,4,0.12,0.682556959
512,1,512,4,0.14,0.685758446
512,1,512,4,0.16,0.700578059
512,1,512,4,0.18,0.728570238
512,1,512,4,0.2,0.732190007
512,1,512,4,0.22,0.746546674
512,1,512,4,0.24,0.744249607
512,1,512,4,0.26,0.759438375
512,1,512,4,0.28,0.760903341
512,1,512,4,0.3,0.779005225
512,1,512,4,0.32,0.747768518
512,1,512,4,0.34,0.772420227
512,1,512,4,0.36,0.798752735
512,1,512,4,0.38,0.84136745
512,1,512,4,0.4,0.847212243
512,1,512,4,0.42,0.791916914
512,1,512,4,0.44,0.795286954
512,1,512,4,0.46,0.802668189
512,1,512,4,0.48,0.81732838
512,1,512,4,0.5,0.807933801
512,1,512,4,0.52,0.805988312
512,1,512,4,0.54,0.803973341
512,1,512,4,0.56,0.809315357
512,1,512,4,0.58,0.822890361
512,1,512,4,0.6,0.813487818
512,1,512,4,0.62,0.811151674
512,1,512,4,0.64,0.776695674
512,1,512,4,0.66,0.779857367
512,1,512,4,0.68,0.783090917
512,1,512,4,0.7,0.79328931
512,1,512,4,0.72,0.808075246
512,1,512,4,0.74,0.844172008
512,1,512,4,0.76,0.803973341
512,1,512,4,0.78,0.870014008
512,1,512,4,0.8,0.844592203
512,1,512,4,0.82,0.872303806
512,1,512,4,0.84,0.871403363
512,1,512,4,0.86,0.807790219
512,1,512,4,0.88,0.846478118
512,1,512,4,0.9,0.826733107
512,1,512,4,0.92,0.865292184
512,1,512,4,0.94,0.876733102
512,1,512,4,0.96,0.818586304
512,1,512,4,0.98,0.851028438
512,1,512,4,1,0.85233264
512,1,512,5,0.02,0.869162677
512,1,512,5,0.04,0.476368006
512,1,512,5,0.06,0.722073608
512,1,512,5,0.08,0.711659085
512,1,512,5,0.1,0.728562832
512,1,512,5,0.12,0.703448694
512,1,512,5,0.14,0.736016087
512,1,512,5,0.16,0.712854735
512,1,512,5,0.18,0.72705747
512,1,512,5,0.2,0.734108169
512,1,512,5,0.22,0.752160009
512,1,512,5,0.24,0.710039048
512,1,512,5,0.26,0.749089968
512,1,512,5,0.28,0.764696009
512,1,512,5,0.3,0.771781574
512,1,512,5,0.32,0.75536069
512,1,512,5,0.34,0.767037899
512,1,512,5,0.36,0.820538191
512,1,512,5,0.38,0.839620475
512,1,512,5,0.4,0.828260904
512,1,512,5,0.42,0.767951213
512,1,512,5,0.44,0.793876446
512,1,512,5,0.46,0.799170009
512,1,512,5,0.48,0.821691079
512,1,512,5,0.5,0.816136837
512,1,512,5,0.52,0.816379518
512,1,512,5,0.54,0.838121153
512,1,512,5,0.56,0.8256268
512,1,512,5,0.58,0.821181751
512,1,512,5,0.6,0.826040814
512,1,512,5,0.62,0.830957724
512,1,512,5,0.64,0.775560542
512,1,512,5,0.66,0.777513717
512,1,512,5,0.68,0.782930191
512,1,512,5,0.7,0.79938866
512,1,512,5,0.72,0.817526295
512,1,512,5,0.74,0.88049731
512,1,512,5,0.76,0.827599867
512,1,512,5,0.78,0.863221135
512,1,512,5,0.8,0.839357827
512,1,512,5,0.82,0.87739108
512,1,512,5,0.84,0.889747665
512,1,512,5,0.86,0.831132549
512,1,512,5,0.88,0.865343063
512,1,512,5,0.9,0.840297465
512,1,512,5,0.92,0.870321313
512,1,512,5,0.94,0.886015649
512,1,512,5,0.96,0.814808039
512,1,512,5,0.98,0.856844095
512,1,512,5,1,0.902592011
512,1,512,8,0.02,0.052293334
512,1,512,8,0.04,0.215710004
512,1,512,8,0.06,0.498878408
512,1,512,8,0.08,0.633553856
512,1,512,8,0.1,0.715188247
512,1,512,8,0.12,0.72837144
512,1,512,8,0.14,0.780573671
512,1,512,8,0.16,0.760178635
512,1,512,8,0.18,0.779622912
512,1,512,8,0.2,0.781262413
512,1,512,8,0.22,0.804010013
512,1,512,8,0.24,0.776556013
512,1,512,8,0.26,0.797206544
512,1,512,8,0.28,0.808912513
512,1,512,8,0.3,0.846640449
512,1,512,8,0.32,0.829878524
512,1,512,8,0.34,0.847539904
512,1,512,8,0.36,0.882115753
512,1,512,8,0.38,0.905537369
512,1,512,8,0.4,0.901050676
512,1,512,8,0.42,0.844381153
512,1,512,8,0.44,0.855239079
512,1,512,8,0.46,0.866405469
512,1,512,8,0.48,0.886554433
512,1,512,8,0.5,0.876364152
512,1,512,8,0.52,0.8862344
512,1,512,8,0.54,0.904861443
512,1,512,8,0.56,0.885186293
512,1,512,8,0.58,0.890755426
512,1,512,8,0.6,0.891152677
512,1,512,8,0.62,0.8908543
512,1,512,8,0.64,0.828849347
512,1,512,8,0.66,0.847416418
512,1,512,8,0.68,0.845681264
512,1,512,8,0.7,0.886896468
512,1,512,8,0.72,0.907837961
512,1,512,8,0.74,0.953046016
512,1,512,8,0.76,0.885251443
512,1,512,8,0.78,0.929514015
512,1,512,8,0.8,0.906842942
512,1,512,8,0.82,0.947237484
512,1,512,8,0.84,0.962534725
512,1,512,8,0.86,0.900045694
512,1,512,8,0.88,0.937574189
512,1,512,8,0.9,0.910672211
512,1,512,8,0.92,0.943145414
512,1,512,8,0.94,0.96046655
512,1,512,8,0.96,0.9047384
512,1,512,8,0.98,0.945959773
512,1,512,8,1,0.990821069
512,1,512,10,0.02,0.6166969
512,1,512,10,0.04,0.382470674
512,1,512,10,0.06,0.418405128
512,1,512,10,0.08,0.812835707
512,1,512,10,0.1,0.853888016
512,1,512,10,0.12,0.833557349
512,1,512,10,0.14,0.843474747
512,1,512,10,0.16,0.811295027
512,1,512,10,0.18,0.832046788
512,1,512,10,0.2,0.845349136
512,1,512,10,0.22,0.871677349
512,1,512,10,0.24,0.819732495
512,1,512,10,0.26,0.840818301
512,1,512,10,0.28,0.851664349
512,1,512,10,0.3,0.88173219
512,1,512,10,0.32,0.862971931
512,1,512,10,0.34,0.88203817
512,1,512,10,0.36,0.91695929
512,1,512,10,0.38,0.935801692
512,1,512,10,0.4,0.950578276
