n1,r1,n2,r2,ratio
512,5,512,5,1
512,5,512,8,0.662027696
512,5,512,10,0.543653705
512,5,512,16,0.380021093
512,5,512,20,0.321946075
512,5,512,24,0.283757999
512,5,512,32,0.233411334
512,5,512,40,0.200878118
512,5,512,48,0.174860971
512,5,512,56,0.157836199
512,5,512,64,0.141527228
512,8,512,8,1
512,8,512,10,0.821194805
512,8,512,16,0.574025974
512,8,512,20,0.48630303
512,8,512,24,0.428619529
512,8,512,32,0.351732409
512,8,512,40,0.303428571
512,8,512,48,0.266895142
512,8,512,56,0.238413287
512,8,512,64,0.213778409
512,10,512,10,1
512,10,512,16,0.696569056
512,10,512,20,0.587213225
512,10,512,24,0.520034334
512,10,512,32,0.423658623
512,10,512,40,0.365321356
512,10,512,48,0.32078743
512,10,512,56,0.286554432
512,10,512,64,0.256945203
512,16,512,16,1
512,16,512,20,0.840060332
512,16,512,24,0.741075918
512,16,512,32,0.610294118
512,16,512,40,0.528597285
512,16,512,48,0.464953075
512,16,512,56,0.41137979
512,16,512,64,0.37745098
512,20,512,20,1
512,20,512,24,0.882169875
512,20,512,32,0.725001335
512,20,512,40,0.627474719
512,20,512,48,0.549891125
512,20,512,56,0.490256635
512,20,512,64,0.439599171
512,24,512,24,1
512,24,512,32,0.820113375
512,24,512,40,0.70119403
512,24,512,48,0.621570457
512,24,512,56,0.560449146
512,24,512,64,0.502538797
512,32,512,32,1
512,32,512,40,0.859395317
512,32,512,48,0.756665004
512,32,512,56,0.680549514
512,32,512,64,0.599883405
512,40,512,40,1
512,40,512,48,0.877986433
512,40,512,56,0.791388946
512,40,512,64,0.716493984
512,48,512,48,1
512,48,512,56,0.900636432
512,48,512,64,0.813629863
512,56,512,56,1
512,56,512,64,0.898993296
512,64,512,64,1
512,5,1024,5,1.000733676
512,5,1024,8,0.633362518
512,5,1024,10,0.522808908
512,5,1024,16,0.368342466
512,5,1024,20,0.31327953
512,5,1024,24,0.280621408
512,5,1024,32,0.229900581
512,5,1024,40,0.200304934
512,5,1024,48,0.176970607
512,5,1024,56,0.161801698
512,5,1024,64,0.149457768
512,8,1024,8,0.961038961
512,8,1024,10,0.795850549
512,8,1024,16,0.556385281
512,8,1024,20,0.473212121
512,8,1024,24,0.424819625
512,8,1024,32,0.347267316
512,8,1024,40,0.300813853
512,8,1024,48,0.271428571
512,8,1024,56,0.245578231
512,8,1024,64,0.225757576
512,10,1024,10,0.9682861
512,10,1024,16,0.670546559
512,10,1024,20,0.575037707
512,10,1024,24,0.510600511
512,10,1024,32,0.42022364
512,10,1024,40,0.363657176
512,10,1024,48,0.329748377
512,10,1024,56,0.299049908
512,10,1024,64,0.272554594
512,16,1024,16,0.969268477
512,16,1024,20,0.824374057
