n1,r1,n2,r2,ratio
512,5,512,5,1
512,5,512,8,1.059244314
512,5,512,10,1.08730741
512,5,512,16,1.216067498
512,5,512,20,1.287784299
512,5,512,24,1.362038396
512,5,512,32,1.493832539
512,5,512,40,1.607024945
512,5,512,48,1.678665322
512,5,512,56,1.767765433
512,5,512,64,1.811548514
512,8,512,8,1
512,8,512,10,1.026493506
512,8,512,16,1.148051948
512,8,512,20,1.215757576
512,8,512,24,1.285858586
512,8,512,32,1.406929638
512,8,512,40,1.517142857
512,8,512,48,1.601370851
512,8,512,56,1.668893012
512,8,512,64,1.710227273
512,10,512,10,1
512,10,512,16,1.11451049
512,10,512,20,1.174426451
512,10,512,24,1.248082402
512,10,512,32,1.355707594
512,10,512,40,1.461285425
512,10,512,48,1.539779665
512,10,512,56,1.604704819
512,10,512,64,1.644449301
512,16,512,16,1
512,16,512,20,1.050075415
512,16,512,24,1.111613876
512,16,512,32,1.220588235
512,16,512,40,1.321493213
512,16,512,48,1.394859226
512,16,512,56,1.439829265
512,16,512,64,1.509803922
512,20,512,20,1
512,20,512,24,1.058603849
512,20,512,32,1.160002136
512,20,512,40,1.254949437
512,20,512,48,1.319738701
512,20,512,56,1.372718579
512,20,512,64,1.406717348
512,24,512,24,1
512,24,512,32,1.093484501
512,24,512,40,1.168656716
512,24,512,48,1.243140913
512,24,512,56,1.307714673
512,24,512,64,1.34010346
512,32,512,32,1
512,32,512,40,1.074244146
512,32,512,48,1.134997506
512,32,512,56,1.190961649
512,32,512,64,1.199766809
512,40,512,40,1
512,40,512,48,1.053583719
512,40,512,56,1.107944525
512,40,512,64,1.146390374
512,48,512,48,1
512,48,512,56,1.050742504
512,48,512,64,1.084839817
512,56,512,56,1
512,56,512,64,1.02742091
512,64,512,64,1
512,5,1024,5,1.000733676
512,5,1024,8,1.013380029
512,5,1024,10,1.045617816
512,5,1024,16,1.178695891
512,5,1024,20,1.253118122
512,5,1024,24,1.346982759
512,5,1024,32,1.47136372
512,5,1024,40,1.602439472
512,5,1024,48,1.698917828
512,5,1024,56,1.812179017
512,5,1024,64,1.913059428
512,8,1024,8,0.961038961
512,8,1024,10,0.994813187
512,8,1024,16,1.112770563
512,8,1024,20,1.183030303
512,8,1024,24,1.274458874
512,8,1024,32,1.389069264
512,8,1024,40,1.504069264
